timestamp,iteration,env0,raw0,env1,raw1,env2,raw2,env3,raw3,thumb_tip,thumb_base,index,middle,ring,pinky,hand_label
2025-10-21T19:48:31.128766,0,470,517,12,414,944,816,64,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.199890,1,726,517,66,414,1001,818,23,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.269838,2,396,512,297,402,943,818,36,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.342961,3,734,512,84,402,868,826,70,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.415437,4,507,512,241,402,814,828,128,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.483780,5,583,517,387,389,941,832,124,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.556319,6,488,512,146,389,909,834,119,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.627845,7,828,512,227,389,746,835,37,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.699972,8,351,502,503,389,789,843,100,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.767583,9,647,500,298,389,783,852,101,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.837756,10,807,492,559,384,853,857,123,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.907072,11,917,488,440,380,784,858,158,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:31.981381,12,301,488,449,380,753,863,139,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.050937,13,623,484,391,375,720,870,90,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.120916,14,457,484,577,375,816,872,108,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.192959,15,796,482,284,375,835,883,158,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.261546,16,482,476,598,368,805,890,219,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.331277,17,610,470,685,368,836,893,178,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.403248,18,649,470,540,375,772,908,217,293,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.474230,19,458,470,737,375,937,919,300,296,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.545310,20,339,458,499,368,834,937,270,296,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.619048,21,354,458,680,368,856,937,239,296,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.688501,22,233,458,334,368,937,938,356,303,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.758509,23,993,458,677,362,872,942,376,318,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.824053,24,528,458,331,358,1009,942,278,330,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.895947,25,60,452,435,354,989,942,306,345,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:32.966997,26,412,458,424,354,986,944,358,356,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.038344,27,678,458,641,358,835,946,356,357,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.104902,28,402,458,227,362,859,950,332,363,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.175600,29,80,458,733,358,963,950,445,368,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.247314,30,394,458,712,354,989,952,402,378,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.319399,31,300,452,435,352,983,952,364,390,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.388588,32,801,444,648,352,958,952,380,400,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.461582,33,790,458,591,348,993,950,484,414,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.531903,34,391,458,209,348,970,950,474,430,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.600413,35,70,458,365,354,952,950,466,444,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.669785,36,593,458,161,362,983,946,413,458,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.736662,37,733,458,114,362,1022,942,373,463,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.804030,38,718,452,444,362,969,945,399,479,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.873341,39,644,452,430,369,1000,950,460,486,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:33.939853,40,621,452,440,369,982,950,526,506,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.007832,41,587,452,315,369,975,952,487,548,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.075871,42,305,452,234,375,995,952,551,550,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.142072,43,237,452,34,380,993,952,599,563,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.212072,44,197,444,292,380,993,952,550,594,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.282936,45,504,444,356,386,959,952,588,630,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.352733,46,441,444,223,386,973,952,686,672,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.423412,47,269,432,158,375,996,952,660,684,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.492262,48,213,444,496,375,952,952,747,684,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.561603,49,24,444,321,369,1005,952,757,700,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.634310,50,459,432,257,358,1008,954,803,700,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.704843,51,407,432,316,358,959,956,823,700,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.773487,52,2,432,331,354,1023,958,893,700,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.841811,53,18,432,383,348,980,958,916,701,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.911975,54,96,432,484,342,1001,958,909,701,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:34.982322,55,342,417,526,336,938,958,859,716,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.051685,56,325,432,300,336,959,958,855,716,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.123807,57,595,448,495,336,925,958,900,742,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.194069,58,541,450,65,336,952,958,916,744,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.267383,59,799,450,281,336,949,958,870,746,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.341511,60,818,448,259,336,910,958,850,750,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.411584,61,145,450,523,333,892,958,852,750,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.482831,62,871,454,110,333,991,956,918,760,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.555508,63,669,454,592,333,987,958,862,764,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.621830,64,126,462,492,333,979,958,862,765,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.691025,65,177,470,198,336,863,956,842,772,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.762751,66,271,490,138,333,937,958,835,774,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
2025-10-21T19:48:35.832599,67,307,519,338,326,932,956,897,780,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,Left
