timestamp,iteration,env0,raw0,env1,raw1,env2,raw2,env3,raw3,thumb_tip,thumb_base,index,middle,ring,pinky,hand_label
2025-10-16T18:17:53.202523,0,732,595,372,408,171,106,997,878,0.6034,1.4919,1.3908,1.5794,1.4170,1.1926,Left
2025-10-16T18:17:53.333999,1,56,601,171,416,83,117,816,898,0.5999,1.4900,1.3895,1.5717,1.4275,1.1927,Left
2025-10-16T18:17:53.462270,2,64,601,288,416,194,120,780,912,0.6057,1.4858,1.3853,1.5591,1.4292,1.1870,Left
2025-10-16T18:17:53.587412,3,117,601,469,408,81,120,833,917,0.6140,1.4919,1.3962,1.5714,1.4405,1.1891,Left
2025-10-16T18:17:53.710458,4,159,629,426,408,97,124,701,930,0.6070,1.4919,1.4040,1.5714,1.4483,1.1999,Left
2025-10-16T18:17:53.838745,5,792,629,368,408,125,124,695,940,0.5986,1.4877,1.3742,1.5434,1.4267,1.1940,Left
2025-10-16T18:17:53.969047,6,356,612,181,402,132,126,668,957,0.6105,1.4817,1.3768,1.5635,1.4327,1.1999,Left
2025-10-16T18:17:54.102691,7,432,601,285,408,275,129,757,962,0.6034,1.4959,1.3885,1.5635,1.4380,1.1819,Left
2025-10-16T18:17:54.245479,8,578,588,59,415,205,134,680,968,0.6057,1.4731,1.3776,1.5512,1.4266,1.1833,Left
2025-10-16T18:17:54.389339,9,965,582,305,418,371,134,689,968,0.5915,1.4899,1.3791,1.5431,1.4187,1.1868,Left
2025-10-16T18:17:54.518816,10,703,588,480,415,407,134,747,968,0.6013,1.4877,1.4214,1.5415,1.4346,1.2000,Left
2025-10-16T18:17:54.645395,11,271,582,81,408,256,134,702,968,0.6044,1.5225,1.4579,1.6012,1.4996,1.2091,Left
2025-10-16T18:17:54.774000,12,935,576,332,408,217,134,795,968,0.5926,1.5094,1.4116,1.5713,1.4599,1.1994,Left
2025-10-16T18:17:54.901232,13,821,567,151,408,385,134,765,968,0.6061,1.5310,1.4541,1.6137,1.4851,1.2229,Left
2025-10-16T18:17:55.029423,14,519,530,395,412,378,136,808,968,0.6047,1.5123,1.4074,1.5840,1.4520,1.2165,Left
2025-10-16T18:17:55.151850,15,272,524,135,408,364,136,832,968,0.6032,1.4951,1.3974,1.5552,1.4363,1.2038,Left
2025-10-16T18:17:55.272122,16,779,502,403,402,233,140,792,968,0.5841,1.4714,1.3363,1.5112,1.3920,1.1509,Left
2025-10-16T18:17:55.400337,17,421,480,485,398,180,150,877,968,0.5762,1.4185,1.3285,1.4582,1.3402,1.1294,Left
2025-10-16T18:17:55.520659,18,923,464,250,392,206,152,958,968,0.5705,1.3694,1.2736,1.3882,1.2995,1.0848,Left
2025-10-16T18:17:55.649897,19,886,450,350,392,381,174,992,966,0.5699,1.3380,1.2364,1.3467,1.2729,1.0234,Left
2025-10-16T18:17:55.781302,20,960,430,477,392,142,178,969,962,0.5669,1.3748,1.1849,1.3535,1.2901,0.9096,Left
2025-10-16T18:17:55.913072,21,952,416,633,380,192,189,990,959,0.5921,1.3907,1.2486,1.3874,0.8416,0.9125,Left
2025-10-16T18:17:56.043312,22,666,416,749,380,94,192,1013,961,0.6049,1.4412,1.2930,1.0839,0.9416,1.1257,Left
2025-10-16T18:17:56.174942,23,575,411,352,380,2,196,1020,966,0.6112,1.4698,0.9995,0.3995,1.0233,1.1401,Left
2025-10-16T18:17:56.308240,24,940,411,532,366,179,202,999,970,0.6258,1.5206,0.4083,0.4050,0.7754,1.0634,Left
2025-10-16T18:17:56.446147,25,266,416,671,356,109,206,1003,970,0.6268,1.5407,0.4416,0.4747,0.4476,0.9874,Left
2025-10-16T18:17:56.581213,26,486,411,418,348,113,206,1013,970,0.5675,1.4535,0.5777,0.4703,0.5115,0.8951,Left
2025-10-16T18:17:56.735631,27,655,411,437,340,219,216,1022,974,0.5918,1.4869,0.3703,0.9965,0.9491,0.9406,Left
2025-10-16T18:17:56.856347,28,781,398,652,334,71,218,1023,978,0.5740,1.3770,1.2469,1.3744,1.2833,1.0869,Left
2025-10-16T18:17:56.978113,29,475,382,797,334,116,219,1015,981,0.5414,1.3166,1.1595,1.2412,1.2864,0.8732,Left
2025-10-16T18:17:57.096926,30,198,382,487,334,25,219,1015,990,0.5697,1.3671,1.1441,1.3642,1.0667,0.6189,Left
2025-10-16T18:17:57.213572,31,127,382,412,324,26,219,1021,992,0.5764,1.3804,1.2211,1.5014,0.7722,0.7333,Left
2025-10-16T18:17:57.333954,32,307,389,303,324,82,226,1023,995,0.6262,1.5489,1.4029,0.7866,1.0812,0.9912,Left
2025-10-16T18:17:57.463676,33,274,372,472,298,109,226,1018,995,0.5926,1.5755,0.6863,0.5484,1.0769,1.1104,Left
2025-10-16T18:17:57.601877,34,233,348,540,286,102,242,1008,995,0.6019,1.5315,0.7185,0.5597,0.6465,0.9379,Left
2025-10-16T18:17:57.729786,35,161,332,289,268,86,242,1015,997,0.6486,1.5940,0.6655,0.4698,0.4406,1.0277,Left
2025-10-16T18:17:57.855674,36,254,332,316,268,150,242,1008,997,0.6026,1.5458,0.7140,0.5644,0.6435,1.0304,Left
2025-10-16T18:17:57.978268,37,208,319,116,254,139,266,983,997,0.5511,1.5479,0.3769,1.4526,1.1579,1.1170,Left
2025-10-16T18:17:58.100780,38,73,318,424,224,204,276,995,997,0.4936,1.2300,1.3166,1.4473,1.3799,1.1448,Left
2025-10-16T18:17:58.234103,39,123,314,150,217,314,292,1009,997,0.4614,0.9060,1.2173,1.3381,1.3332,0.8947,Left
2025-10-16T18:17:58.365681,40,192,314,161,213,218,300,915,997,0.6023,1.2159,1.1285,1.4630,0.5660,0.3871,Left
2025-10-16T18:17:58.485871,41,20,308,112,196,264,308,934,997,0.6343,1.4686,1.2540,1.3137,0.9842,0.4584,Left
2025-10-16T18:17:58.610743,42,171,304,13,189,333,316,952,995,0.6145,1.5362,0.8790,0.9025,1.0795,0.3718,Left
2025-10-16T18:17:58.733957,43,84,302,275,189,303,329,872,995,0.5791,1.4865,0.6033,0.6346,0.5627,0.6108,Left
2025-10-16T18:17:58.852218,44,70,288,181,178,490,334,979,990,0.6137,1.5781,0.4516,0.4878,0.4631,0.7205,Left
2025-10-16T18:17:58.975699,45,319,288,30,175,426,340,956,985,0.5750,1.4323,0.5382,0.4678,0.5920,0.8486,Left
2025-10-16T18:17:59.105612,46,319,274,150,171,348,340,901,978,0.5633,1.4448,1.1946,1.4165,1.3287,1.1320,Left
2025-10-16T18:17:59.229382,47,559,288,175,164,365,355,977,976,0.5056,1.1461,1.1232,1.3160,1.3118,0.9138,Left
2025-10-16T18:17:59.361920,48,30,288,142,161,329,359,956,974,0.6135,1.3515,1.1741,1.5075,0.5152,0.6331,Left
2025-10-16T18:17:59.485389,49,208,302,175,161,479,362,1014,970,0.5881,1.4201,0.6079,0.5533,0.6115,0.5895,Left
2025-10-16T18:17:59.606303,50,106,302,57,158,482,370,973,964,0.5728,1.4760,0.3456,0.3879,0.3335,0.3569,Left
